,degree_centrality,close_centrality,eigen_vector_centrality,pagerank
RG Sharma,8.194059371238534,0.0,0.00036431515281293135,0.012091938329356533
Q de Kock,14.015289419361421,0.0,0.00036431515281293135,0.012091938329356533
SA Yadav,14.884539182902838,0.0,0.00036431515281293135,0.012091938329356533
SS Tiwary,3.281717737305031,0.0,0.00036431515281293135,0.012091938329356533
HH Pandya,7.944503805471442,0.0,0.00036431515281293135,0.012091938329356533
KA Pollard,9.83315695173583,0.0,0.00036431515281293135,0.012091938329356533
KH Pandya,3.355652188152112,0.0,0.00036431515281293135,0.012091938329356533
JL Pattinson,0.49299603326425034,0.0,0.00036431515281293135,0.012091938329356533
RD Chahar,0.0973302695164841,0.0,0.00036431515281293135,0.012091938329356533
TA Boult,0.0,0.0,0.00036431515281293135,0.012091938329356533
JJ Bumrah,0.17705382436260625,0.0,0.00036431515281293135,0.012091938329356533
Ishan Kishan,15.388797428891433,0.0,0.00036431515281293135,0.012091938329356533
NM Coulter-Nile,0.8348447808920285,0.0,0.00036431515281293135,0.012091938329356533
DS Kulkarni,0.10574550581600281,0.0,0.00036431515281293135,0.012091938329356533
,degree_centrality,close_centrality,eigen_vector_centrality,pagerank
M Vijay,1.0643302283045446,0.0,0.00043055754258495145,0.01225498493822239
SR Watson,8.627165038534141,0.0,0.00043055754258495145,0.01225498493822239
F du Plessis,13.042565840794392,0.0,0.00043055754258495145,0.01225498493822239
AT Rayudu,10.803210120270657,0.0,0.00043055754258495145,0.01225498493822239
RA Jadeja,7.38106664593384,0.0,0.00043055754258495145,0.01225498493822239
SM Curran,5.8929553568385105,0.0,0.00043055754258495145,0.01225498493822239
MS Dhoni,5.457995646139617,0.0,0.00043055754258495145,0.01225498493822239
RD Gaikwad,6.677002446810458,0.0,0.00043055754258495145,0.01225498493822239
KM Jadhav,2.1221252690071126,0.0,0.00043055754258495145,0.01225498493822239
N Jagadeesan,1.4033197014991405,0.0,0.00043055754258495145,0.01225498493822239
DL Chahar,0.23148987033134016,0.0,0.00043055754258495145,0.01225498493822239
SN Thakur,0.35190723281100583,0.0,0.00043055754258495145,0.01225498493822239
Imran Tahir,0.4642006524750498,0.0,0.00043055754258495145,0.01225498493822239
DJ Bravo,0.16847445300790223,0.0,0.00043055754258495145,0.01225498493822239
,degree_centrality,close_centrality,eigen_vector_centrality,pagerank
PP Shaw,6.0817362010018705,0.0,0.00040375732031843197,0.011299504205653333
S Dhawan,18.19531201720753,0.0,0.00040375732031843197,0.011299504205653333
SO Hetmyer,5.862853847126428,0.0,0.00040375732031843197,0.011299504205653333
SS Iyer,14.746961178290311,0.0,0.00040375732031843197,0.011299504205653333
RR Pant,8.738269974695864,0.0,0.00040375732031843197,0.011299504205653333
AR Patel,3.3349656929780824,0.0,0.00040375732031843197,0.011299504205653333
MP Stoinis,10.033638759199595,0.0,0.00040375732031843197,0.011299504205653333
R Ashwin,1.2991079149005138,0.0,0.00040375732031843197,0.011299504205653333
A Nortje,0.2536469537223006,0.0,0.00040375732031843197,0.011299504205653333
AM Rahane,3.7743604652409126,0.0,0.00040375732031843197,0.011299504205653333
K Rabada,2.1196764772498264,0.0,0.00040375732031843197,0.011299504205653333
TU Deshpande,0.6989641187789303,0.0,0.00040375732031843197,0.011299504205653333
HV Patel,0.5697893928906188,0.0,0.00040375732031843197,0.011299504205653333
AT Carey,1.27812570307352,0.0,0.00040375732031843197,0.011299504205653333
P Dubey,0.2695803556045703,0.0,0.00040375732031843197,0.011299504205653333
DR Sams,0.0,0.0,0.00040375732031843197,0.011299504205653333
,degree_centrality,close_centrality,eigen_vector_centrality,pagerank
KL Rahul,21.806547240809163,0.0,0.0004069720746329942,0.011198389156665852
MA Agarwal,14.170758884617053,0.0,0.0004069720746329942,0.011198389156665852
KK Nair,0.6298871777420797,0.0,0.0004069720746329942,0.011198389156665852
N Pooran,10.982264707965353,0.0,0.0004069720746329942,0.011198389156665852
GJ Maxwell,3.194157824322667,0.0,0.0004069720746329942,0.011198389156665852
SN Khan,1.2310825442315332,0.0,0.0004069720746329942,0.011198389156665852
K Gowtham,1.6274053122079772,0.0,0.0004069720746329942,0.011198389156665852
CJ Jordan,1.0689578088973892,0.0,0.0004069720746329942,0.011198389156665852
Mandeep Singh,3.924762140747651,0.0,0.0004069720746329942,0.011198389156665852
CH Gayle,9.539051844160564,0.0,0.0004069720746329942,0.011198389156665852
DJ Hooda,4.531176695014352,0.0,0.0004069720746329942,0.011198389156665852
M Ashwin,0.11531995322740245,0.0,0.0004069720746329942,0.011198389156665852
JDS Neesham,0.4524293256454197,0.0,0.0004069720746329942,0.011198389156665852
Ravi Bishnoi,0.26938510191399556,0.0,0.0004069720746329942,0.011198389156665852
Mohammed Shami,0.08209280763631471,0.0,0.0004069720746329942,0.011198389156665852
P Simran Singh,0.3793643728967789,0.0,0.0004069720746329942,0.011198389156665852
Mujeeb Ur Rahman,0.04880429477794046,0.0,0.0004069720746329942,0.011198389156665852
SS Cottrell,0.0,0.0,0.0004069720746329942,0.011198389156665852
Arshdeep Singh,0.0,0.0,0.0004069720746329942,0.011198389156665852
,degree_centrality,close_centrality,eigen_vector_centrality,pagerank
Shubman Gill,13.84200912137762,0.0,0.00040160330905487956,0.011454706095355748
RA Tripathi,6.790703607218217,0.0,0.00040160330905487956,0.011454706095355748
N Rana,11.311620074839858,0.0,0.00040160330905487956,0.011454706095355748
T Banton,0.27973205322815947,0.0,0.00040160330905487956,0.011454706095355748
KD Karthik,5.082836985917079,0.0,0.00040160330905487956,0.011454706095355748
EJG Morgan,13.938791864567559,0.0,0.00040160330905487956,0.011454706095355748
PJ Cummins,5.437351905851847,0.0,0.00040160330905487956,0.011454706095355748
Kuldeep Yadav,0.4719531519949281,0.0,0.00040160330905487956,0.011454706095355748
LH Ferguson,1.5718392255238567,0.0,0.00040160330905487956,0.011454706095355748
SP Narine,3.78903142203405,0.0,0.00040160330905487956,0.011454706095355748
AD Russell,3.4016897116038587,0.0,0.00040160330905487956,0.011454706095355748
KL Nagarkoti,0.6608782915842593,0.0,0.00040160330905487956,0.011454706095355748
Shivam Mavi,0.31775013580652456,0.0,0.00040160330905487956,0.011454706095355748
CV Varun,0.27330331691160753,0.0,0.00040160330905487956,0.011454706095355748
NS Naik,0.04214075010535188,0.0,0.00040160330905487956,0.011454706095355748
M Prasidh Krishna,0.05673758865248227,0.0,0.00040160330905487956,0.011454706095355748
RK Singh,0.3397841804446702,0.0,0.00040160330905487956,0.011454706095355748
,degree_centrality,close_centrality,eigen_vector_centrality,pagerank
D Padikkal,13.993062170468615,0.0,0.0003949210520710178,0.012135873250450879
AJ Finch,8.381650756085106,0.0,0.0003949210520710178,0.012135873250450879
Gurkeerat Singh,2.6654195479792726,0.0,0.0003949210520710178,0.012135873250450879
V Kohli,14.658387940690801,0.0,0.0003949210520710178,0.012135873250450879
JR Philippe,2.4449545375798643,0.0,0.0003949210520710178,0.012135873250450879
AB de Villiers,14.532881521586683,0.0,0.0003949210520710178,0.012135873250450879
S Dube,3.5077153124983527,0.0,0.0003949210520710178,0.012135873250450879
CH Morris,1.0004549016066142,0.0,0.0003949210520710178,0.012135873250450879
Washington Sundar,3.291732706386026,0.0,0.0003949210520710178,0.012135873250450879
I Udana,0.4163567250326828,0.0,0.0003949210520710178,0.012135873250450879
Mohammed Siraj,0.4748839545085638,0.0,0.0003949210520710178,0.012135873250450879
Shahbaz Ahmed,0.04297378599054577,0.0,0.0003949210520710178,0.012135873250450879
UT Yadav,0.0,0.0,0.0003949210520710178,0.012135873250450879
NA Saini,0.8817470739381746,0.0,0.0003949210520710178,0.012135873250450879
DW Steyn,0.03188775510204082,0.0,0.0003949210520710178,0.012135873250450879
YS Chahal,0.01594387755102041,0.0,0.0003949210520710178,0.012135873250450879
MM Ali,0.36165395042120685,0.0,0.0003949210520710178,0.012135873250450879
,degree_centrality,close_centrality,eigen_vector_centrality,pagerank
DA Warner,16.70781495459179,0.0,0.00038561320856416196,0.011049780023771815
WP Saha,7.79993126060852,0.0,0.00038561320856416196,0.011049780023771815
JM Bairstow,9.728016204995278,0.0,0.00038561320856416196,0.011049780023771815
MK Pandey,13.792606131545332,0.0,0.00038561320856416196,0.011049780023771815
Abdul Samad,3.411897354842934,0.0,0.00038561320856416196,0.011049780023771815
V Shankar,3.282316562486699,0.0,0.00038561320856416196,0.011049780023771815
JO Holder,1.9771082060734926,0.0,0.00038561320856416196,0.011049780023771815
PK Garg,4.377003097757672,0.0,0.00038561320856416196,0.011049780023771815
Rashid Khan,1.2520288284139056,0.0,0.00038561320856416196,0.011049780023771815
Sandeep Sharma,0.3629181784988465,0.0,0.00038561320856416196,0.011049780023771815
KK Ahmed,0.0,0.0,0.00038561320856416196,0.011049780023771815
KS Williamson,10.219738652374016,0.0,0.00038561320856416196,0.011049780023771815
Abhishek Sharma,2.288775015764183,0.0,0.00038561320856416196,0.011049780023771815
S Nadeem,0.2668502791314217,0.0,0.00038561320856416196,0.011049780023771815
T Natarajan,0.1374351923462519,0.0,0.00038561320856416196,0.011049780023771815
B Kumar,0.0,0.0,0.00038561320856416196,0.011049780023771815
MR Marsh,0.0,0.0,0.00038561320856416196,0.011049780023771815
Mohammad Nabi,0.35889740362583816,0.0,0.00038561320856416196,0.011049780023771815
SP Goswami,0.0,0.0,0.00038561320856416196,0.011049780023771815
,degree_centrality,close_centrality,eigen_vector_centrality,pagerank
YBK Jaiswal,1.2066553730213827,0.0,0.00040074244547929066,0.012150578433630007
SPD Smith,9.915135785873627,0.0,0.00040074244547929066,0.012150578433630007
SV Samson,10.994119850281175,0.0,0.00040074244547929066,0.012150578433630007
RV Uthappa,5.897201245637586,0.0,0.00040074244547929066,0.012150578433630007
R Tewatia,8.298867814495853,0.0,0.00040074244547929066,0.012150578433630007
R Parag,3.176702143406086,0.0,0.00040074244547929066,0.012150578433630007
TK Curran,2.937538457818001,0.0,0.00040074244547929066,0.012150578433630007
JC Archer,4.090328516850351,0.0,0.00040074244547929066,0.012150578433630007
JC Buttler,10.87854101577574,0.0,0.00040074244547929066,0.012150578433630007
MK Lomror,2.0195440802332474,0.0,0.00040074244547929066,0.012150578433630007
AJ Tye,0.1971738416036806,0.0,0.00040074244547929066,0.012150578433630007
S Gopal,1.0178068448325168,0.0,0.00040074244547929066,0.012150578433630007
Kartik Tyagi,0.12551064292273928,0.0,0.00040074244547929066,0.012150578433630007
VR Aaron,0.027624309392265192,0.0,0.00040074244547929066,0.012150578433630007
JD Unadkat,0.2949274973627278,0.0,0.00040074244547929066,0.012150578433630007
AS Rajpoot,0.3086300244647937,0.0,0.00040074244547929066,0.012150578433630007
BA Stokes,9.304407634261345,0.0,0.00040074244547929066,0.012150578433630007
